Leaf name,Leaf Link,Chunk Status,Embedding Status,Num Chunks,Timestamp
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,PENDING,2,2025-01-06 12:00:37
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,YES,2,2025-01-06 12:00:37
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,PENDING,4,2025-01-06 12:01:29
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,YES,4,2025-01-06 12:01:29
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,PENDING,2,2025-01-06 12:02:21
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,YES,2,2025-01-06 12:02:21
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,PENDING,1,2025-01-06 12:03:12
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,YES,1,2025-01-06 12:03:12
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,PENDING,1,2025-01-06 12:04:03
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,YES,1,2025-01-06 12:04:03
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,PENDING,1,2025-01-06 12:04:54
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,YES,1,2025-01-06 12:04:54
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,PENDING,1,2025-01-06 12:05:45
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,YES,1,2025-01-06 12:05:45
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,PENDING,1,2025-01-06 12:06:36
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,YES,1,2025-01-06 12:06:36
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,PENDING,1,2025-01-06 12:07:27
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,YES,1,2025-01-06 12:07:27
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,PENDING,1,2025-01-06 12:08:18
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,YES,1,2025-01-06 12:08:18
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,PENDING,1,2025-01-06 12:09:09
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,YES,1,2025-01-06 12:09:09
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,PENDING,1,2025-01-06 12:10:00
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,YES,1,2025-01-06 12:10:00
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,PENDING,2,2025-01-06 12:10:51
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,YES,2,2025-01-06 12:10:51
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,PENDING,2,2025-01-06 12:11:42
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,YES,2,2025-01-06 12:11:42
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,PENDING,2,2025-01-06 12:12:33
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,YES,2,2025-01-06 12:12:33
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,PENDING,1,2025-01-06 12:13:24
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,YES,1,2025-01-06 12:13:24
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,PENDING,1,2025-01-06 12:14:15
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,YES,1,2025-01-06 12:14:15
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,PENDING,6,2025-01-06 12:15:06
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,YES,6,2025-01-06 12:15:06
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,PENDING,2,2025-01-06 12:15:58
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,YES,2,2025-01-06 12:15:58
Getting Started with Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/getting-started-with-zoho-analytics,YES,PENDING,1,2025-01-06 12:16:49
Getting Started with Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/getting-started-with-zoho-analytics,YES,YES,1,2025-01-06 12:16:49
Basic Concepts of Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/basic-concepts-of-zoho-analytics,YES,PENDING,2,2025-01-06 12:17:40
Basic Concepts of Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/basic-concepts-of-zoho-analytics,YES,YES,2,2025-01-06 12:17:40
Sign in and Sign up for Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/sign-in-and-sign-up-for-zoho-analytics,YES,PENDING,1,2025-01-06 12:18:31
Sign in and Sign up for Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/sign-in-and-sign-up-for-zoho-analytics,YES,YES,1,2025-01-06 12:18:31
Frequently Asked Questions,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/frequ,YES,PENDING,10,2025-01-06 12:19:22
Frequently Asked Questions,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/frequ,YES,YES,10,2025-01-06 12:19:22
Linked Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/linked-workspace,YES,PENDING,2,2025-01-06 12:20:15
Linked Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/linked-workspace,YES,YES,2,2025-01-06 12:20:15
Introduction to Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/workspace-introduction,YES,PENDING,1,2025-01-06 12:21:07
Introduction to Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/workspace-introduction,YES,YES,1,2025-01-06 12:21:07
Creating a Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/creating-a-workspace,YES,PENDING,2,2025-01-06 12:21:58
Creating a Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/creating-a-workspace,YES,YES,2,2025-01-06 12:21:58
Viewing Workspaces,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/viewing-workspaces,YES,PENDING,5,2025-01-06 12:32:49
Viewing Workspaces,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/viewing-workspaces,YES,YES,5,2025-01-06 12:32:49
Workspace Settings,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/workspace-settings,YES,PENDING,3,2025-01-06 12:33:40
Workspace Settings,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/workspace-settings,YES,YES,3,2025-01-06 12:33:40
Managing users in Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/managing-users-in-workspace,YES,PENDING,1,2025-01-06 12:34:32
Managing users in Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/managing-users-in-workspace,YES,YES,1,2025-01-06 12:34:32
Managing Groups,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/managing-groups-25-3-2021,YES,PENDING,1,2025-01-06 12:35:23
Managing Groups,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/managing-groups-25-3-2021,YES,YES,1,2025-01-06 12:35:23
Variables,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/variables-27-11-2021,YES,PENDING,2,2025-01-06 12:36:13
Variables,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/variables-27-11-2021,YES,YES,2,2025-01-06 12:36:13
What is a Table?,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/what-is-a-table,YES,PENDING,1,2025-01-06 12:37:05
What is a Table?,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/what-is-a-table,YES,YES,1,2025-01-06 12:37:05
Creating a New Table,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/creating-a-new-table,YES,PENDING,2,2025-01-06 12:37:55
Creating a New Table,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/creating-a-new-table,YES,YES,2,2025-01-06 12:37:55
Add Rows and Columns,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/add-rows-and-columns,YES,PENDING,2,2025-01-06 12:38:47
Add Rows and Columns,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/add-rows-and-columns,YES,YES,2,2025-01-06 12:38:47
Working with Tables,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/working-with-tables,YES,PENDING,5,2025-01-06 12:39:38
Working with Tables,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/working-with-tables,YES,YES,5,2025-01-06 12:39:38
Managing Data Sources,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/managing-data-sources,YES,PENDING,3,2025-01-06 12:40:29
Managing Data Sources,https://help.zoho.com/portal/en/kb/analytics/user-guide/table/articles/managing-data-sources,YES,YES,3,2025-01-06 12:40:29
Import/Connect to Data,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/import-connect-to-data/articles/import-connect-to-data,YES,PENDING,1,2025-01-06 12:41:21
Import/Connect to Data,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/import-connect-to-data/articles/import-connect-to-data,YES,YES,1,2025-01-06 12:41:21
Importing Data from Files,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/files/articles/from-files,YES,PENDING,2,2025-01-06 12:42:12
Importing Data from Files,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/files/articles/from-files,YES,YES,2,2025-01-06 12:42:12
Importing from Large CSV using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/files/articles/large-csv-files,YES,PENDING,2,2025-01-06 12:43:03
Importing from Large CSV using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/files/articles/large-csv-files,YES,YES,2,2025-01-06 12:43:03
Importing Data from Web Feeds,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/feeds/articles/from-feeds,YES,PENDING,2,2025-01-06 12:43:54
Importing Data from Web Feeds,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/feeds/articles/from-feeds,YES,YES,2,2025-01-06 12:43:54
Import Data from Amazon S3,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-amazon-s3-9-2-2024,YES,PENDING,2,2025-01-06 12:44:46
Import Data from Amazon S3,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-storage/articles/import-data-from-amazon-s3-9-2-2024,YES,YES,2,2025-01-06 12:44:46
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,PENDING,2,2025-01-06 12:46:26
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,YES,2,2025-01-06 12:46:26
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,PENDING,2,2025-01-06 12:51:07
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,YES,2,2025-01-06 12:51:07
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,PENDING,4,2025-01-06 12:51:59
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,YES,4,2025-01-06 12:51:59
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,PENDING,2,2025-01-06 12:52:51
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,YES,2,2025-01-06 12:52:51
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,PENDING,1,2025-01-06 12:53:42
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,YES,1,2025-01-06 12:53:42
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,PENDING,1,2025-01-06 12:54:33
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,YES,1,2025-01-06 12:54:33
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,PENDING,1,2025-01-06 12:55:24
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,YES,1,2025-01-06 12:55:24
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,PENDING,1,2025-01-06 12:56:15
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,YES,1,2025-01-06 12:56:15
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,PENDING,1,2025-01-06 12:57:06
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,YES,1,2025-01-06 12:57:06
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,PENDING,1,2025-01-06 12:57:57
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,YES,1,2025-01-06 12:57:57
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,PENDING,1,2025-01-06 12:58:48
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,YES,1,2025-01-06 12:58:48
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,PENDING,1,2025-01-06 12:59:38
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,YES,1,2025-01-06 12:59:38
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,PENDING,1,2025-01-06 13:00:29
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,YES,1,2025-01-06 13:00:29
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,PENDING,2,2025-01-06 13:01:20
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,YES,2,2025-01-06 13:01:20
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,PENDING,2,2025-01-06 13:02:12
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,YES,2,2025-01-06 13:02:12
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,PENDING,2,2025-01-06 13:03:03
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,YES,2,2025-01-06 13:03:03
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,PENDING,1,2025-01-06 13:03:54
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,YES,1,2025-01-06 13:03:54
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,PENDING,1,2025-01-06 13:04:45
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,YES,1,2025-01-06 13:04:45
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,PENDING,6,2025-01-06 13:05:36
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,YES,6,2025-01-06 13:05:36
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,PENDING,2,2025-01-06 13:06:28
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,YES,2,2025-01-06 13:06:28
